"","tot_surf_area","npe_area","fa_enpr","RMSD","fa_enppr","molmass_ea","avg_dev","euc_dist","ssp","sdc","X","X.1","s","t","u"
"1",18775.1,5379.74,0.28653,2.555,253.378,2543981.045,316.588,5729.45,0,21.4332,NA,NA,NA,NA,NA
"2",6577.95,2216.25,0.33692,10.33,61.6351,869891.523,105.043,2815.13,0,40.6875,NA,NA,NA,NA,NA
"3",21164.3,7060.92,0.33362,3.713,254.789,2961050.576,330.066,5545.96,0,23.4201,NA,NA,NA,NA,NA
"4",4843.8,1549.68,0.31993,3.669,45.326,684027.9378,66.5513,2116.76,0,43.078,NA,NA,NA,NA,NA
"5",7828.61,1805.01,0.23056,2.994,67.0155,1136107.917,98.6349,3021.69,0,35.1075,NA,NA,NA,NA,NA
"6",11335.1,3204.83,0.28273,2.622,174.767,1562850.685,191.52,4646.44,0,29.5888,NA,NA,NA,NA,NA
"7",9951.7,3725.66,0.37437,15.555,100.187,1308864.495,156.707,3353.29,0,38.3949,NA,NA,NA,NA,NA
"8",8750.63,1766.4,0.20185,0,97.4348,1177780.943,114.726,4186.95,0,46.5464,NA,NA,NA,NA,NA
"9",9141.61,2515.5,0.27517,3.728,96.3458,1299113.298,129.094,3784.49,0,33.1973,NA,NA,NA,NA,NA
"10",9148.59,2944.32,0.32183,16.688,85.1275,1274748.778,118.423,3797.44,0,36.1227,NA,NA,NA,NA,NA
"11",8442.89,2825.5,0.33466,1.657,71.9063,1135756.135,108.737,3897.28,0,38.3979,NA,NA,NA,NA,NA
"12",15925.4,6471.56,0.40636,6.154,189.222,2303609.135,303.584,5368.06,0,23.9027,NA,NA,NA,NA,NA
"13",5858.64,1960.36,0.33461,1.821,71.3453,817597.7667,88.7729,3039.89,0,40.3523,NA,NA,NA,NA,NA
"14",6191.73,936.65,0.15127,0.505,48.0677,870716.6374,73.9113,2753.59,0,39.9914,NA,NA,NA,NA,NA
"15",8133.33,2474.14,0.30419,3.284,68.0328,1132152.996,104.532,3643.67,0,37.6622,NA,NA,NA,NA,NA
"16",10058.8,2300.52,0.2287,16.014,88.2436,1413277.43,127.553,4121.94,0,33.164,NA,NA,NA,NA,NA
"17",6927.13,1943.9,0.28062,4.92,62.2082,982259.5227,78.3461,3604.91,0,36.5531,NA,NA,NA,NA,NA
